label,bits,method,verdict,word_muls,word_div_steps,mod_muls,mod_sqrs,mod_reductions,high_label,high_value,k,seed
b0016_r1,16,Trial division,PRIME,0,124,0,0,124,divisions,124,20,88172645463325252
b0016_r1,16,Fermat,PROBABLY_PRIME,480,691,180,300,691,rounds,20,20,88172645463325252
b0016_r1,16,Solovay-Strassen,PROBABLY_PRIME,460,794,180,280,794,rounds,20,20,88172645463325252
b0016_r1,16,Miller-Rabin,PROBABLY_PRIME,447,443,180,267,443,rounds,20,20,88172645463325252
b0016_r1,16,AKS,SKIPPED,0,0,0,0,0,poly_mults,0,20,88172645463325252
b0016_r1,16,Lucas-Lehmer,NA,0,0,0,0,0,LL_iters,0,20,88172645463325252
b0016_r2,16,Trial division,PRIME,0,114,0,0,114,divisions,114,20,88172645463325252
b0016_r2,16,Fermat,PROBABLY_PRIME,460,638,160,300,638,rounds,20,20,88172645463325252
b0016_r2,16,Solovay-Strassen,PROBABLY_PRIME,440,731,160,280,731,rounds,20,20,88172645463325252
b0016_r2,16,Miller-Rabin,PROBABLY_PRIME,440,438,160,280,438,rounds,20,20,88172645463325252
b0016_r2,16,AKS,SKIPPED,0,0,0,0,0,poly_mults,0,20,88172645463325252
b0016_r2,16,Lucas-Lehmer,NA,0,0,0,0,0,LL_iters,0,20,88172645463325252
b0016_r3,16,Trial division,PRIME,0,122,0,0,122,divisions,122,20,88172645463325252
b0016_r3,16,Fermat,PROBABLY_PRIME,460,649,160,300,649,rounds,20,20,88172645463325252
b0016_r3,16,Solovay-Strassen,PROBABLY_PRIME,440,755,160,280,755,rounds,20,20,88172645463325252
b0016_r3,16,Miller-Rabin,PROBABLY_PRIME,428,427,160,268,427,rounds,20,20,88172645463325252
b0016_r3,16,AKS,SKIPPED,0,0,0,0,0,poly_mults,0,20,88172645463325252
b0016_r3,16,Lucas-Lehmer,NA,0,0,0,0,0,LL_iters,0,20,88172645463325252
b0032_r1,32,Trial division,PRIME,0,32252,0,0,32252,divisions,32252,20,88172645463325252
b0032_r1,32,Fermat,PROBABLY_PRIME,880,2114,260,620,1254,rounds,20,20,88172645463325252
b0032_r1,32,Solovay-Strassen,PROBABLY_PRIME,860,2323,260,600,1483,rounds,20,20,88172645463325252
b0032_r1,32,Miller-Rabin,PROBABLY_PRIME,860,1695,260,600,855,rounds,20,20,88172645463325252
b0032_r1,32,AKS,SKIPPED,0,0,0,0,0,poly_mults,0,20,88172645463325252
b0032_r1,32,Lucas-Lehmer,NA,0,0,0,0,0,LL_iters,0,20,88172645463325252
b0032_r2,32,Trial division,PRIME,0,29860,0,0,29860,divisions,29860,20,88172645463325252
b0032_r2,32,Fermat,PROBABLY_PRIME,940,2219,320,620,1299,rounds,20,20,88172645463325252
b0032_r2,32,Solovay-Strassen,PROBABLY_PRIME,920,2413,320,600,1513,rounds,20,20,88172645463325252
b0032_r2,32,Miller-Rabin,PROBABLY_PRIME,913,1801,320,593,908,rounds,20,20,88172645463325252
b0032_r2,32,AKS,SKIPPED,0,0,0,0,0,poly_mults,0,20,88172645463325252
b0032_r2,32,Lucas-Lehmer,NA,0,0,0,0,0,LL_iters,0,20,88172645463325252
b0032_r3,32,Trial division,PRIME,0,31492,0,0,31492,divisions,31492,20,88172645463325252
b0032_r3,32,Fermat,PROBABLY_PRIME,920,2202,300,620,1302,rounds,20,20,88172645463325252
b0032_r3,32,Solovay-Strassen,PROBABLY_PRIME,900,2398,300,600,1518,rounds,20,20,88172645463325252
b0032_r3,32,Miller-Rabin,PROBABLY_PRIME,889,1753,300,589,884,rounds,20,20,88172645463325252
b0032_r3,32,AKS,SKIPPED,0,0,0,0,0,poly_mults,0,20,88172645463325252
b0032_r3,32,Lucas-Lehmer,NA,0,0,0,0,0,LL_iters,0,20,88172645463325252
b0064_r1,64,Trial division,INCONCLUSIVE,0,999998,0,0,499999,divisions,499999,20,88172645463325252
b0064_r1,64,Fermat,PROBABLY_PRIME,20546,499,740,1260,2779,rounds,20,20,88172645463325252
b0064_r1,64,Solovay-Strassen,PROBABLY_PRIME,20794,778,740,1240,3242,rounds,20,20,88172645463325252
b0064_r1,64,Miller-Rabin,PROBABLY_PRIME,19546,70,740,1230,1990,rounds,20,20,88172645463325252
b0064_r1,64,AKS,SKIPPED,0,0,0,0,0,poly_mults,0,20,88172645463325252
b0064_r1,64,Lucas-Lehmer,NA,0,0,0,0,0,LL_iters,0,20,88172645463325252
b0064_r2,64,Trial division,INCONCLUSIVE,0,999998,0,0,499999,divisions,499999,20,88172645463325252
b0064_r2,64,Fermat,PROBABLY_PRIME,19604,473,640,1260,2681,rounds,20,20,88172645463325252
b0064_r2,64,Solovay-Strassen,PROBABLY_PRIME,19848,750,640,1240,3140,rounds,20,20,88172645463325252
b0064_r2,64,Miller-Rabin,PROBABLY_PRIME,18534,72,640,1229,1889,rounds,20,20,88172645463325252
b0064_r2,64,AKS,SKIPPED,0,0,0,0,0,poly_mults,0,20,88172645463325252
b0064_r2,64,Lucas-Lehmer,NA,0,0,0,0,0,LL_iters,0,20,88172645463325252
b0064_r3,64,Trial division,INCONCLUSIVE,0,999998,0,0,499999,divisions,499999,20,88172645463325252
b0064_r3,64,Fermat,PROBABLY_PRIME,18780,477,560,1260,2594,rounds,20,20,88172645463325252
b0064_r3,64,Solovay-Strassen,PROBABLY_PRIME,19034,728,560,1240,3032,rounds,20,20,88172645463325252
b0064_r3,64,Miller-Rabin,PROBABLY_PRIME,17706,70,560,1226,1806,rounds,20,20,88172645463325252
b0064_r3,64,AKS,SKIPPED,0,0,0,0,0,poly_mults,0,20,88172645463325252
b0064_r3,64,Lucas-Lehmer,NA,0,0,0,0,0,LL_iters,0,20,88172645463325252
b0128_r1,128,Trial division,INCONCLUSIVE,0,1999996,0,0,499999,divisions,499999,20,88172645463325252
b0128_r1,128,Fermat,PROBABLY_PRIME,143180,655,1360,2540,5456,rounds,20,20,88172645463325252
b0128_r1,128,Solovay-Strassen,PROBABLY_PRIME,144661,924,1360,2520,6378,rounds,20,20,88172645463325252
b0128_r1,128,Miller-Rabin,PROBABLY_PRIME,139040,249,1360,2520,3940,rounds,20,20,88172645463325252
b0128_r1,128,AKS,SKIPPED,0,0,0,0,0,poly_mults,0,20,88172645463325252
b0128_r1,128,Lucas-Lehmer,NA,0,0,0,0,0,LL_iters,0,20,88172645463325252
b0128_r2,128,Trial division,INCONCLUSIVE,0,1999996,0,0,499999,divisions,499999,20,88172645463325252
b0128_r2,128,Fermat,PROBABLY_PRIME,137490,630,1200,2540,5288,rounds,20,20,88172645463325252
b0128_r2,128,Solovay-Strassen,PROBABLY_PRIME,138977,889,1200,2520,6208,rounds,20,20,88172645463325252
b0128_r2,128,Miller-Rabin,PROBABLY_PRIME,132200,250,1200,2490,3749,rounds,20,20,88172645463325252
b0128_r2,128,AKS,SKIPPED,0,0,0,0,0,poly_mults,0,20,88172645463325252
b0128_r2,128,Lucas-Lehmer,NA,0,0,0,0,0,LL_iters,0,20,88172645463325252
b0128_r3,128,Trial division,INCONCLUSIVE,0,1999996,0,0,499999,divisions,499999,20,88172645463325252
b0128_r3,128,Fermat,PROBABLY_PRIME,143170,647,1360,2540,5444,rounds,20,20,88172645463325252
b0128_r3,128,Solovay-Strassen,PROBABLY_PRIME,144573,904,1360,2520,6344,rounds,20,20,88172645463325252
b0128_r3,128,Miller-Rabin,PROBABLY_PRIME,138536,250,1360,2506,3925,rounds,20,20,88172645463325252
b0128_r3,128,AKS,SKIPPED,0,0,0,0,0,poly_mults,0,20,88172645463325252
b0128_r3,128,Lucas-Lehmer,NA,0,0,0,0,0,LL_iters,0,20,88172645463325252
