label,bits,method,verdict,word_muls,word_div_steps,mod_muls,mod_sqrs,mod_reductions,high_label,high_value,k,seed
carmichael,10,Trial division,COMPOSITE,0,1,0,0,1,divisions,1,20,88172645463325252
carmichael,10,Fermat,COMPOSITE,60,94,15,45,94,rounds,6,20,88172645463325252
carmichael,10,Solovay-Strassen,COMPOSITE,11,25,3,8,25,rounds,1,20,88172645463325252
carmichael,10,Miller-Rabin,COMPOSITE,11,11,3,8,11,rounds,1,20,88172645463325252
carmichael,10,AKS,SKIPPED,0,0,0,0,0,poly_mults,0,20,88172645463325252
carmichael,10,Lucas-Lehmer,NA,0,0,0,0,0,LL_iters,0,20,88172645463325252
carmichael,11,Trial division,COMPOSITE,0,2,0,0,2,divisions,2,20,88172645463325252
carmichael,11,Fermat,COMPOSITE,26,36,6,20,36,rounds,3,20,88172645463325252
carmichael,11,Solovay-Strassen,COMPOSITE,12,25,3,9,25,rounds,1,20,88172645463325252
carmichael,11,Miller-Rabin,COMPOSITE,12,11,3,9,11,rounds,1,20,88172645463325252
carmichael,11,AKS,SKIPPED,0,0,0,0,0,poly_mults,0,20,88172645463325252
carmichael,11,Lucas-Lehmer,NA,0,0,0,0,0,LL_iters,0,20,88172645463325252
carmichael,11,Trial division,COMPOSITE,0,3,0,0,3,divisions,3,20,88172645463325252
carmichael,11,Fermat,COMPOSITE,14,28,4,10,28,rounds,2,20,88172645463325252
carmichael,11,Solovay-Strassen,COMPOSITE,13,31,4,9,31,rounds,2,20,88172645463325252
carmichael,11,Miller-Rabin,COMPOSITE,13,10,4,9,10,rounds,1,20,88172645463325252
carmichael,11,AKS,SKIPPED,0,0,0,0,0,poly_mults,0,20,88172645463325252
carmichael,11,Lucas-Lehmer,NA,0,0,0,0,0,LL_iters,0,20,88172645463325252
carmichael,12,Trial division,COMPOSITE,0,2,0,0,2,divisions,2,20,88172645463325252
carmichael,12,Fermat,COMPOSITE,30,45,8,22,45,rounds,3,20,88172645463325252
carmichael,12,Solovay-Strassen,COMPOSITE,28,50,8,20,50,rounds,2,20,88172645463325252
carmichael,12,Miller-Rabin,COMPOSITE,14,11,4,10,11,rounds,1,20,88172645463325252
carmichael,12,AKS,SKIPPED,0,0,0,0,0,poly_mults,0,20,88172645463325252
carmichael,12,Lucas-Lehmer,NA,0,0,0,0,0,LL_iters,0,20,88172645463325252
carmichael,12,Trial division,COMPOSITE,0,3,0,0,3,divisions,3,20,88172645463325252
carmichael,12,Fermat,COMPOSITE,165,256,44,121,256,rounds,12,20,88172645463325252
carmichael,12,Solovay-Strassen,COMPOSITE,28,56,8,20,56,rounds,2,20,88172645463325252
carmichael,12,Miller-Rabin,COMPOSITE,14,14,4,10,14,rounds,1,20,88172645463325252
carmichael,12,AKS,SKIPPED,0,0,0,0,0,poly_mults,0,20,88172645463325252
carmichael,12,Lucas-Lehmer,NA,0,0,0,0,0,LL_iters,0,20,88172645463325252
carmichael,13,Trial division,COMPOSITE,0,3,0,0,3,divisions,3,20,88172645463325252
carmichael,13,Fermat,COMPOSITE,36,54,12,24,54,rounds,3,20,88172645463325252
carmichael,13,Solovay-Strassen,COMPOSITE,17,26,6,11,26,rounds,1,20,88172645463325252
carmichael,13,Miller-Rabin,COMPOSITE,17,16,6,11,16,rounds,1,20,88172645463325252
carmichael,13,AKS,SKIPPED,0,0,0,0,0,poly_mults,0,20,88172645463325252
carmichael,13,Lucas-Lehmer,NA,0,0,0,0,0,LL_iters,0,20,88172645463325252
carmichael,14,Trial division,COMPOSITE,0,3,0,0,3,divisions,3,20,88172645463325252
carmichael,14,Fermat,COMPOSITE,100,156,35,65,156,rounds,6,20,88172645463325252
carmichael,14,Solovay-Strassen,COMPOSITE,19,38,7,12,38,rounds,1,20,88172645463325252
carmichael,14,Miller-Rabin,COMPOSITE,19,19,7,12,19,rounds,1,20,88172645463325252
carmichael,14,AKS,SKIPPED,0,0,0,0,0,poly_mults,0,20,88172645463325252
carmichael,14,Lucas-Lehmer,NA,0,0,0,0,0,LL_iters,0,20,88172645463325252
