label,bits,method,verdict,word_muls,word_div_steps,mod_muls,mod_sqrs,mod_reductions,high_label,high_value,k,seed
p1024,1024,Trial division,INCONCLUSIVE,0,15999968,0,0,499999,divisions,499999,5,88172645463325252
p1024,1024,Fermat,PROBABLY_PRIME,15807807,2992,2465,5115,10726,rounds,5,5,88172645463325252
p1024,1024,Solovay-Strassen,PROBABLY_PRIME,15831520,3055,2465,5110,12638,rounds,5,5,88172645463325252
p1024,1024,Miller-Rabin,PROBABLY_PRIME,15745792,2891,2465,5110,7741,rounds,5,5,88172645463325252
p1024,1024,AKS,SKIPPED,0,0,0,0,0,poly_mults,0,5,88172645463325252
p1024,1024,Lucas-Lehmer,NA,0,0,0,0,0,LL_iters,0,5,88172645463325252
p1024,1024,Trial division,INCONCLUSIVE,0,15999968,0,0,499999,divisions,499999,10,88172645463325252
p1024,1024,Fermat,PROBABLY_PRIME,31617268,6006,4930,10230,21512,rounds,10,10,88172645463325252
p1024,1024,Solovay-Strassen,PROBABLY_PRIME,31664148,6139,4930,10220,25305,rounds,10,10,88172645463325252
p1024,1024,Miller-Rabin,PROBABLY_PRIME,31491552,5795,4930,10220,15481,rounds,10,10,88172645463325252
p1024,1024,AKS,SKIPPED,0,0,0,0,0,poly_mults,0,10,88172645463325252
p1024,1024,Lucas-Lehmer,NA,0,0,0,0,0,LL_iters,0,10,88172645463325252
p1024,1024,Trial division,INCONCLUSIVE,0,15999968,0,0,499999,divisions,499999,20,88172645463325252
p1024,1024,Fermat,PROBABLY_PRIME,63233144,12000,9860,20460,43011,rounds,20,20,88172645463325252
p1024,1024,Solovay-Strassen,PROBABLY_PRIME,63325516,12267,9860,20440,50540,rounds,20,20,88172645463325252
p1024,1024,Miller-Rabin,PROBABLY_PRIME,62983104,11587,9860,20440,30962,rounds,20,20,88172645463325252
p1024,1024,AKS,SKIPPED,0,0,0,0,0,poly_mults,0,20,88172645463325252
p1024,1024,Lucas-Lehmer,NA,0,0,0,0,0,LL_iters,0,20,88172645463325252
p1024,1024,Trial division,INCONCLUSIVE,0,15999968,0,0,499999,divisions,499999,40,88172645463325252
p1024,1024,Fermat,PROBABLY_PRIME,126466211,23976,19720,40920,86059,rounds,40,40,88172645463325252
p1024,1024,Solovay-Strassen,PROBABLY_PRIME,126649944,24503,19720,40880,101082,rounds,40,40,88172645463325252
p1024,1024,Miller-Rabin,PROBABLY_PRIME,125966208,23159,19720,40880,61923,rounds,40,40,88172645463325252
p1024,1024,AKS,SKIPPED,0,0,0,0,0,poly_mults,0,40,88172645463325252
p1024,1024,Lucas-Lehmer,NA,0,0,0,0,0,LL_iters,0,40,88172645463325252
p1024,1024,Trial division,INCONCLUSIVE,0,15999968,0,0,499999,divisions,499999,80,88172645463325252
p1024,1024,Fermat,PROBABLY_PRIME,252930424,47943,39440,81840,172111,rounds,80,80,88172645463325252
p1024,1024,Solovay-Strassen,PROBABLY_PRIME,253297124,49002,39440,81760,202155,rounds,80,80,88172645463325252
p1024,1024,Miller-Rabin,PROBABLY_PRIME,251932480,46323,39440,81760,123849,rounds,80,80,88172645463325252
p1024,1024,AKS,SKIPPED,0,0,0,0,0,poly_mults,0,80,88172645463325252
p1024,1024,Lucas-Lehmer,NA,0,0,0,0,0,LL_iters,0,80,88172645463325252
