label,bits,method,verdict,word_muls,word_div_steps,mod_muls,mod_sqrs,mod_reductions,high_label,high_value,k,seed
p05bit,5,Trial division,PRIME,0,2,0,0,2,divisions,2,20,88172645463325252
p05bit,5,Fermat,PROBABLY_PRIME,160,201,80,80,201,rounds,20,20,88172645463325252
p05bit,5,Solovay-Strassen,PROBABLY_PRIME,140,237,80,60,237,rounds,20,20,88172645463325252
p05bit,5,Miller-Rabin,PROBABLY_PRIME,140,121,80,60,121,rounds,20,20,88172645463325252
p05bit,5,AKS,PRIME,12306,12930,12275,0,12930,poly_mults,12275,20,88172645463325252
p05bit,5,Lucas-Lehmer,PRIME,3,0,0,0,0,LL_iters,3,20,88172645463325252
p07bit,7,Trial division,PRIME,0,5,0,0,5,divisions,5,20,88172645463325252
p07bit,7,Fermat,PROBABLY_PRIME,240,319,120,120,319,rounds,20,20,88172645463325252
p07bit,7,Solovay-Strassen,PROBABLY_PRIME,220,362,120,100,362,rounds,20,20,88172645463325252
p07bit,7,Miller-Rabin,PROBABLY_PRIME,220,208,120,100,208,rounds,20,20,88172645463325252
p07bit,7,AKS,PRIME,280503,386057,280436,0,386057,poly_mults,280436,20,88172645463325252
p07bit,7,Lucas-Lehmer,PRIME,5,0,0,0,0,LL_iters,5,20,88172645463325252
p10bit,10,Trial division,PRIME,0,15,0,0,15,divisions,15,20,88172645463325252
p10bit,10,Fermat,PROBABLY_PRIME,300,415,120,180,415,rounds,20,20,88172645463325252
p10bit,10,Solovay-Strassen,PROBABLY_PRIME,280,477,120,160,477,rounds,20,20,88172645463325252
p10bit,10,Miller-Rabin,PROBABLY_PRIME,274,271,120,154,271,rounds,20,20,88172645463325252
p10bit,10,AKS,PRIME,6676419,9867435,6676269,0,9867435,poly_mults,6676269,20,88172645463325252
p10bit,10,Lucas-Lehmer,NA,0,0,0,0,0,LL_iters,0,20,88172645463325252
p13bit,13,Trial division,PRIME,0,44,0,0,44,divisions,44,20,88172645463325252
p13bit,13,Fermat,PROBABLY_PRIME,480,651,240,240,651,rounds,20,20,88172645463325252
p13bit,13,Solovay-Strassen,PROBABLY_PRIME,460,740,240,220,740,rounds,20,20,88172645463325252
p13bit,13,Miller-Rabin,PROBABLY_PRIME,460,457,240,220,457,rounds,20,20,88172645463325252
p13bit,13,AKS,PRIME,56239572,83874204,56239312,0,83874204,poly_mults,56239312,20,88172645463325252
p13bit,13,Lucas-Lehmer,PRIME,11,0,0,0,0,LL_iters,11,20,88172645463325252
p15bit,15,Trial division,PRIME,0,89,0,0,89,divisions,89,20,88172645463325252
p15bit,15,Fermat,PROBABLY_PRIME,520,718,240,280,718,rounds,20,20,88172645463325252
p15bit,15,Solovay-Strassen,PROBABLY_PRIME,500,817,240,260,817,rounds,20,20,88172645463325252
p15bit,15,Miller-Rabin,PROBABLY_PRIME,491,491,240,251,491,rounds,20,20,88172645463325252
p15bit,15,AKS,PRIME,159730265,238851758,159729911,0,238851758,poly_mults,159729911,20,88172645463325252
p15bit,15,Lucas-Lehmer,NA,0,0,0,0,0,LL_iters,0,20,88172645463325252
p17bit,17,Trial division,PRIME,0,180,0,0,180,divisions,180,20,88172645463325252
p17bit,17,Fermat,PROBABLY_PRIME,640,1135,320,320,840,rounds,20,20,88172645463325252
p17bit,17,Solovay-Strassen,PROBABLY_PRIME,620,1232,320,300,957,rounds,20,20,88172645463325252
p17bit,17,Miller-Rabin,PROBABLY_PRIME,620,894,320,300,619,rounds,20,20,88172645463325252
p17bit,17,AKS,PRIME,556827527,1058107058,556827069,0,833480020,poly_mults,556827069,20,88172645463325252
p17bit,17,Lucas-Lehmer,PRIME,15,0,0,0,0,LL_iters,15,20,88172645463325252
