label,bits,method,verdict,word_muls,word_div_steps,mod_muls,mod_sqrs,mod_reductions,high_label,high_value,k,seed
Mp0031_primeExp,31,Trial division,INCONCLUSIVE,0,499,0,0,499,divisions,499,10,88172645463325252
Mp0031_primeExp,31,Fermat,PROBABLY_PRIME,600,1369,300,300,779,rounds,10,10,88172645463325252
Mp0031_primeExp,31,Solovay-Strassen,PROBABLY_PRIME,590,1460,300,290,880,rounds,10,10,88172645463325252
Mp0031_primeExp,31,Miller-Rabin,PROBABLY_PRIME,590,1170,300,290,590,rounds,10,10,88172645463325252
Mp0031_primeExp,31,AKS,SKIPPED,0,0,0,0,0,poly_mults,0,10,88172645463325252
Mp0031_primeExp,31,Lucas-Lehmer,PRIME,29,0,0,0,0,LL_iters,29,10,88172645463325252
Mp0061_primeExp,61,Trial division,INCONCLUSIVE,0,998,0,0,499,divisions,499,10,88172645463325252
Mp0061_primeExp,61,Fermat,PROBABLY_PRIME,12316,229,600,600,1597,rounds,10,10,88172645463325252
Mp0061_primeExp,61,Solovay-Strassen,PROBABLY_PRIME,12422,367,600,590,1818,rounds,10,10,88172645463325252
Mp0061_primeExp,61,Miller-Rabin,PROBABLY_PRIME,11836,28,600,590,1206,rounds,10,10,88172645463325252
Mp0061_primeExp,61,AKS,SKIPPED,0,0,0,0,0,poly_mults,0,10,88172645463325252
Mp0061_primeExp,61,Lucas-Lehmer,PRIME,218,0,0,0,0,LL_iters,59,10,88172645463325252
Mp0089_primeExp,89,Trial division,INCONCLUSIVE,0,1497,0,0,499,divisions,499,10,88172645463325252
Mp0089_primeExp,89,Fermat,PROBABLY_PRIME,37685,245,880,880,2314,rounds,10,10,88172645463325252
Mp0089_primeExp,89,Solovay-Strassen,PROBABLY_PRIME,37974,376,880,870,2624,rounds,10,10,88172645463325252
Mp0089_primeExp,89,Miller-Rabin,PROBABLY_PRIME,36600,50,880,870,1770,rounds,10,10,88172645463325252
Mp0089_primeExp,89,AKS,SKIPPED,0,0,0,0,0,poly_mults,0,10,88172645463325252
Mp0089_primeExp,89,Lucas-Lehmer,PRIME,738,0,0,0,0,LL_iters,87,10,88172645463325252
Mp0107_primeExp,107,Trial division,INCONCLUSIVE,0,1996,0,0,499,divisions,499,10,88172645463325252
Mp0107_primeExp,107,Fermat,PROBABLY_PRIME,68897,309,1060,1060,2831,rounds,10,10,88172645463325252
Mp0107_primeExp,107,Solovay-Strassen,PROBABLY_PRIME,69389,446,1060,1050,3228,rounds,10,10,88172645463325252
Mp0107_primeExp,107,Miller-Rabin,PROBABLY_PRIME,67265,90,1060,1050,2140,rounds,10,10,88172645463325252
Mp0107_primeExp,107,AKS,SKIPPED,0,0,0,0,0,poly_mults,0,10,88172645463325252
Mp0107_primeExp,107,Lucas-Lehmer,PRIME,1593,0,0,0,0,LL_iters,105,10,88172645463325252
Mp0127_primeExp,127,Trial division,INCONCLUSIVE,0,1996,0,0,499,divisions,499,10,88172645463325252
Mp0127_primeExp,127,Fermat,PROBABLY_PRIME,92119,325,1260,1260,3306,rounds,10,10,88172645463325252
Mp0127_primeExp,127,Solovay-Strassen,PROBABLY_PRIME,92811,461,1260,1250,3762,rounds,10,10,88172645463325252
